,dataset,model,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
91,MedicalImages,RDST NN,0.7611842105263157,0.012509230202476122,0.6902236216282581,0.020474977351745072,4.001957678794861,0.06547088808140009
92,CBF,RDST,0.9886666666666667,0.013747876753387685,0.9885915200636041,0.013986133848097288,3.557881498336792,0.04540993227899474
93,CBF,RDST NN,0.9938148148148148,0.008061917453779226,0.9937979362698035,0.008104778361182523,3.4563352346420286,0.052456255841470234
94,ECGFiveDays,RDST,0.9956639566395664,0.006590142572498096,0.9956624192642595,0.006594322537504897,3.5106667439142862,0.043791999461885334
95,ECGFiveDays,RDST NN,0.9822686798296554,0.02032118390286126,0.9822389226471742,0.020378401340563065,3.3902191956837973,0.038746322824564534
96,Adiac,RDST,0.7531116794543906,0.016369877019249011,0.720817274093559,0.01684615027191006,4.073401236534119,0.08123000544957129
97,Adiac,RDST NN,0.595311167945439,0.02166813876887059,0.5777953226397283,0.021109176464089715,3.918106277783712,0.08793404014964258
98,SwedishLeaf,RDST,0.9650666666666667,0.0065330612188229855,0.9642810980991082,0.006119766344521725,4.6931780258814495,0.0908012769556167
99,SwedishLeaf,RDST NN,0.9422933333333333,0.006837491417829263,0.9426091307363728,0.006988694065821571,4.597267572085062,0.07867846217109122
100,InsectEPGSmallTrain,RDST,0.8934404283801876,0.03789787904518446,0.867218509459263,0.05119653059886635,4.999956933657328,0.09060570132944756
101,InsectEPGSmallTrain,RDST NN,0.7985274431057563,0.05473335557112712,0.7487450331847233,0.06589319102352088,2.9756887992223104,0.0792106785572983
102,Fish,RDST,0.9853333333333333,0.007026996855503527,0.9854615221782402,0.007062984406433475,4.62249313990275,0.12663032942740227
103,Fish,RDST NN,0.9624761904761905,0.014950864345287923,0.9620041262644131,0.015319859157700962,3.324502158164978,0.06771207628586685
104,InsectEPGRegularTrain,RDST,0.9832663989290497,0.014704256208720389,0.9789570528982755,0.01767584637796154,5.627372479438781,0.1759824332211951
105,InsectEPGRegularTrain,RDST NN,0.91619812583668,0.021965909457530033,0.8955710239634959,0.025743243401483287,3.446794692675273,0.060343362356591095
106,OSULeaf,RDST,0.9725895316804408,0.008311391097270294,0.9694310218690908,0.008023630814386102,5.245239694913228,0.23018074216308365
107,OSULeaf,RDST NN,0.8257575757575756,0.024073178940083508,0.8268550501058424,0.026641059272275232,3.978054086367289,0.07062504859273203
108,Rock,RDST,0.8773333333333332,0.038895872388839535,0.8591726964206406,0.043167334709193886,20.04676237901052,0.6087872453034767
109,Rock,RDST NN,0.7273333333333334,0.08254022588343751,0.7250639115503729,0.08070205900252941,5.015708756446839,0.08799581416632961
110,PhalangesOutlinesCorrect,RDST,0.8268453768453766,0.0097358693446815,0.8076729985282308,0.011818750529401692,9.753201071421305,0.14438981480665092
111,PhalangesOutlinesCorrect,RDST NN,0.8227272727272725,0.009986878371036642,0.8045269566854677,0.01133118814276763,9.767840361595153,0.12686918509389067
112,Strawberry,RDST,0.9817117117117117,0.007760831190732179,0.9801443543412596,0.008405973421069678,6.262089323997498,0.12811251957300243
113,Strawberry,RDST NN,0.9773873873873875,0.008922558180079818,0.9754996599457902,0.009581833125935106,5.884383551279703,0.10096286962023618
114,Worms,RDST,0.7177489177489178,0.04609119187603868,0.6877307907532393,0.055970807880365486,8.40576053460439,0.43512744048318897
115,Worms,RDST NN,0.6995670995670997,0.051045551421588495,0.6662875472477963,0.06275265475270002,4.011502083142599,0.08620705540802553
116,WormsTwoClass,RDST,0.7770562770562771,0.03765238461309876,0.7662981829070706,0.04023010829494419,8.749435035387675,0.4030357146573963
117,WormsTwoClass,RDST NN,0.7675324675324674,0.046019983388584845,0.7584993568829229,0.04785156345698909,4.0013174136479694,0.12741712795911597
118,CricketX,RDST,0.8328205128205127,0.017458507210819686,0.8338247351031872,0.017430617401724996,6.202002429962159,0.14653849908545205
119,CricketX,RDST NN,0.8078632478632477,0.018911113506096634,0.8084582681099738,0.018136407452756728,5.373139166831971,0.13542988195043937
120,CricketY,RDST,0.8458974358974358,0.014823824785939773,0.8453954073847153,0.015109215774371826,6.150844383239746,0.13729958456936475
121,CricketY,RDST NN,0.8035897435897436,0.02175310225721478,0.8043372871709414,0.021381427378033897,5.397947605450948,0.1122650934078857
122,CricketZ,RDST,0.8537606837606837,0.018233195329853492,0.845307924958392,0.019430599139806288,6.204344161351522,0.1317287369276314
123,CricketZ,RDST NN,0.821025641025641,0.01624920976179986,0.8120740624656663,0.017041557376771512,5.365835150082906,0.12225920456475789
124,Earthquakes,RDST,0.7386091127098323,0.014187241686090209,0.4480155662445121,0.023515114669882913,6.833199787139892,0.32536069587614275
125,Earthquakes,RDST NN,0.7482014388489208,1.1102230246251565e-16,0.42886451842960227,0.0047442189103961505,4.708138442039489,0.10739535254707648
126,FiftyWords,RDST,0.8367765567765569,0.012789286933568917,0.7383593541991301,0.021578716794969758,6.466941754023234,0.10912739102243146
127,FiftyWords,RDST NN,0.8223443223443225,0.01290396699912714,0.7186522977938886,0.019816683999796643,5.86675406297048,0.09653677948290496
128,WordSynonyms,RDST,0.7706374085684431,0.012996703733112742,0.6504419098888337,0.023411005338971776,6.24341017405192,0.1151094846746344
129,WordSynonyms,RDST NN,0.7580459770114943,0.013631158000205396,0.6391781140341404,0.022688430718230543,5.6628934701283775,0.08535380606965186
130,ACSF1,RDST,0.8353333333333333,0.04080304999493161,0.8332450178593536,0.041797498001090755,15.373658307393391,0.9751535725376906
131,ACSF1,RDST NN,0.7706666666666666,0.03749962962780063,0.7667668061025583,0.03906040965597424,6.647608574231466,0.12963986736335764
132,FaceAll,RDST,0.9856015779092702,0.03549649294620951,0.9779864684177656,0.02415241052806316,8.512604212760925,0.1419280413230603
133,FaceAll,RDST NN,0.9845956607495069,0.03522391434934,0.9770367699854609,0.024928320727655263,8.500640646616619,0.13487030077624435
134,FacesUCR,RDST,0.9759837398373984,0.004851445070041683,0.9682851532546443,0.007075668136664198,8.124669059117634,0.13992780336177485
135,FacesUCR,RDST NN,0.9761951219512195,0.00423089305912257,0.9694652623759322,0.007458528676101199,8.186921564737956,0.12648920322038076
136,HouseTwenty,RDST,0.9728291316526612,0.011207982646354373,0.9720062575205534,0.011553726363077197,22.24963665008545,1.1422153025070263
