,dataset,model,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
35,FreezerSmallTrain,R_DST_Ensemble,0.9669239766081871,0.028197071845155866,0.9668806278503129,0.028251746011571863,5.587950929005941,0.18656476140071637
36,GunPoint,R_DST_Ensemble,0.9977777777777779,0.004661372658534001,0.9977772836545716,0.004662296375146377,0.5273883899052938,0.027888018397512367
37,GunPointAgeSpan,R_DST_Ensemble,0.9968354430379747,0.0036541156277824513,0.996835282450581,0.0036541906579879396,1.0229674418767294,0.04871122565344344
38,GunPointMaleVersusFemale,R_DST_Ensemble,0.9998945147679325,0.0005680553594023769,0.9998942085898608,0.000569704178778951,1.0305414994557698,0.03348894755648044
39,GunPointOldVersusYoung,R_DST_Ensemble,1.0,0.0,1.0,0.0,1.0044240474700927,0.02949591665083462
40,Ham,R_DST_Ensemble,0.8504761904761905,0.0369796986244514,0.8496414721536588,0.037271126293804746,1.7003086725870769,0.0734097288056971
41,Haptics,R_DST_Ensemble,0.5608225108225109,0.02420858027193316,0.539233801325704,0.02793277157594797,7.272656257947286,0.2028009372498676
42,Herring,R_DST_Ensemble,0.6291666666666667,0.0480636333127472,0.5923242811108145,0.054964221564392214,1.600814652442932,0.05193178117839822
43,HouseTwenty,R_DST_Ensemble,0.9845938375350141,0.013212858728370601,0.9841801671621756,0.013452986231908472,8.404902561505635,0.3833116516454885
44,InlineSkate,R_DST_Ensemble,0.4939999999999999,0.027658483970333405,0.5094529653405373,0.027856317854450762,20.653563745816548,1.354746672404484
45,InsectEPGRegularTrain,R_DST_Ensemble,1.0,0.0,1.0,0.0,2.6395634015401206,0.10819020512210525
46,InsectEPGSmallTrain,R_DST_Ensemble,0.9665327978580991,0.028328360649520996,0.955003004201357,0.040683828447515634,2.431920043627421,0.11186128826009295
47,InsectWingbeatSound,R_DST_Ensemble,0.6688383838383839,0.01127077659527984,0.6616030337650529,0.011856091674770815,4.36704667409261,0.21346784840808536
48,ItalyPowerDemand,R_DST_Ensemble,0.9584386135406541,0.008221992978064162,0.9584218243652035,0.008249095789502406,0.3013591289520264,0.049673844247714705
49,LargeKitchenAppliances,R_DST_Ensemble,0.9410666666666667,0.01181286179144171,0.9410741009764958,0.011831200837184105,6.403574673334758,0.19278841256331847
50,Lightning2,R_DST_Ensemble,0.7535519125683062,0.04722588877991796,0.7338443254989195,0.05642899933319284,1.8734748045603433,0.062444843368401524
51,Lightning7,R_DST_Ensemble,0.7388127853881279,0.03142401924033836,0.7307857276987118,0.035624549270615515,1.2302863359451295,0.024749335007267545
52,Mallat,R_DST_Ensemble,0.9742146410803127,0.01654735642267655,0.9739819876899442,0.01750537109481976,25.843673475583394,0.9336914600656406
53,Meat,R_DST_Ensemble,0.9766666666666668,0.023804761428476158,0.976444578327334,0.024105338332683787,1.353680157661438,0.0386888063444813
54,MedicalImages,R_DST_Ensemble,0.7839035087719297,0.01155441646550867,0.7049395405167176,0.02294704825422974,1.856908424695333,0.057412478371952194
55,MiddlePhalanxOutlineAgeGroup,R_DST_Ensemble,0.685930735930736,0.032531682656945275,0.6380278450966584,0.04050985506892016,1.168364413579305,0.0386991008358412
56,MiddlePhalanxOutlineCorrect,R_DST_Ensemble,0.8402061855670104,0.013536494972845238,0.8318625780817506,0.01470105687307491,1.7308876911799114,0.052919003915391165
57,MiddlePhalanxTW,R_DST_Ensemble,0.5627705627705629,0.025992057233381955,0.37622025829702427,0.026966929673914855,1.2875224828720093,0.053453815050544085
58,MixedShapesRegularTrain,R_DST_Ensemble,0.9832302405498283,0.0034093780888912696,0.9831730293575444,0.0034287256416837748,33.316205795605974,1.4935999347301185
59,MixedShapesSmallTrain,R_DST_Ensemble,0.9649072164948453,0.009547289782822514,0.9648502731629925,0.0092873667255861,27.20995856920878,1.504800899825835
60,MoteStrain,R_DST_Ensemble,0.9375931842385516,0.020507861434231917,0.9374181286102162,0.02046682661049918,0.4659363031387329,0.045002140381028746
61,NonInvasiveFetalECGThorax1,R_DST_Ensemble,0.9358948261238337,0.0037775382089024847,0.9307650050151026,0.004019143513972059,40.30467898845673,1.6905413841368793
62,NonInvasiveFetalECGThorax2,R_DST_Ensemble,0.950381679389313,0.003870696563828278,0.9461888757352084,0.004168705186419206,40.08021887143453,1.077968174249103
63,OliveOil,R_DST_Ensemble,0.9066666666666666,0.03790827135384884,0.8795045806508991,0.062487062440585966,1.5229774077733358,0.06516338775860084
64,OSULeaf,R_DST_Ensemble,0.9754820936639119,0.007539356574878249,0.9748976701264158,0.00790878585127283,2.6403075456619263,0.08863979194665837
65,PhalangesOutlinesCorrect,R_DST_Ensemble,0.849067599067599,0.01034936159533349,0.8349646996176787,0.012077791524776733,5.5895041704177855,0.21493211437316642
66,Plane,R_DST_Ensemble,1.0,0.0,1.0,0.0,0.8052306652069092,0.043206080949191365
67,PowerCons,R_DST_Ensemble,0.9651851851851851,0.01557758581097266,0.9651650942213245,0.015595704733835205,1.016408658027649,0.04232016707702174
68,ProximalPhalanxOutlineAgeGroup,R_DST_Ensemble,0.8533333333333334,0.020423178495099302,0.7972791054735073,0.030281610773487497,1.1670793135960897,0.03906100302165028
69,ProximalPhalanxOutlineCorrect,R_DST_Ensemble,0.9036655211912945,0.014565565039845829,0.8825710019760009,0.018905237538635537,1.7065646330515543,0.07408592280013465
70,ProximalPhalanxTW,R_DST_Ensemble,0.806666666666667,0.02052197434523551,0.5114448040380909,0.05903693123689622,1.2980966170628865,0.03996737508900269
71,RefrigerationDevices,R_DST_Ensemble,0.7455111111111111,0.0412985277590101,0.7430237044615655,0.0414666657862444,6.949153590202331,0.23729977624946774
72,ScreenType,R_DST_Ensemble,0.7142222222222223,0.034282198526384935,0.7128197632595522,0.03470581101026107,6.904799008369446,0.27749673078515974
73,SemgHandGenderCh2,R_DST_Ensemble,0.9218333333333335,0.011265729744080794,0.915072380477954,0.012028680969710048,21.27607445716858,0.9176296164241046
74,SemgHandMovementCh2,R_DST_Ensemble,0.6922962962962963,0.026040382272853137,0.6916537779743629,0.02562029863253328,24.944921294848125,0.9725103066163242
75,SemgHandSubjectCh2,R_DST_Ensemble,0.8734074074074075,0.018990864889349868,0.872735938911789,0.019183323927825787,24.277092623710633,0.7622355654565346
76,ShapeletSim,R_DST_Ensemble,0.9988888888888888,0.0022222222222222144,0.9988888545942777,0.0022222908114447825,1.6485409339269002,0.09107456580879617
77,ShapesAll,R_DST_Ensemble,0.9466111111111114,0.00812498812914613,0.9457214201101073,0.00838084186712543,7.003116830190023,0.24963289119001283
78,SmallKitchenAppliances,R_DST_Ensemble,0.8392,0.015793482012338964,0.839050539282482,0.015832362893449765,6.294208765029907,0.1817348389875853
79,SmoothSubspace,R_DST_Ensemble,0.9871111111111113,0.0094176089335187,0.9870445009948016,0.009531339009133598,0.2541755358378092,0.02345408616717914
80,SonyAIBORobotSurface1,R_DST_Ensemble,0.9575707154742098,0.017934837421662724,0.9571314166109713,0.017920312438291317,0.2906247854232788,0.04634687453774118
81,SonyAIBORobotSurface2,R_DST_Ensemble,0.9381601958726828,0.023891187357650362,0.9352463234361438,0.02412114558424089,0.3596681594848633,0.05441970448214799
82,Strawberry,R_DST_Ensemble,0.9780180180180178,0.006498986953827531,0.9760363055630907,0.007118740558945028,3.2069652557373045,0.11775687464237349
83,SwedishLeaf,R_DST_Ensemble,0.9723733333333333,0.006660477126719641,0.9725595591061313,0.006664738803839949,2.2765955924987793,0.09584594704345235
84,Symbols,R_DST_Ensemble,0.9730988274706867,0.009398223955911677,0.9733434549170636,0.00961243614276327,3.2987197319666546,0.15942708148090065
